,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,Qlearntab_Language__training_results,2,0,,,-0.02,0.0,0.05634975433349605
1,Qlearntab_Language__training_results,2,1,-0.02,0.0,0.013499999999999953,0.05349999999999994,0.039394974708557046
2,Qlearntab_Language__training_results,2,2,0.006749999999999997,0.026749999999999996,0.0529999999999999,0.005999999999999998,0.03390920162200925
3,Qlearntab_Language__training_results,2,3,0.017666666666666664,0.0020000000000000035,0.09099999999999989,0.06399999999999999,0.0284239053726196
4,Qlearntab_Language__training_results,2,4,0.02275,0.016,0.18199999999999994,0.07100000000000005,0.02045917510986325
5,Qlearntab_Language__training_results,2,5,0.03639999999999999,0.014200000000000011,0.27649999999999997,0.06850000000000003,0.019460678100585847
6,Qlearntab_Language__training_results,2,6,0.04608333333333332,0.011416666666666674,0.3144999999999999,0.1265,0.02744019031524655
7,Qlearntab_Language__training_results,2,7,0.044928571428571415,0.01807142857142857,0.3524999999999999,0.18450000000000003,0.031915187835693304
8,Qlearntab_Language__training_results,2,8,0.04406249999999999,0.023062500000000014,0.4414999999999999,0.18449999999999997,0.027440071105957
9,Qlearntab_Language__training_results,2,9,0.04905555555555555,0.0205,0.5324999999999999,0.19150000000000003,0.02292406558990475
10,Qlearntab_Language__training_results,2,10,0.053249999999999985,0.019150000000000007,0.6274999999999998,0.19250000000000003,0.01746690273284905
11,Qlearntab_Language__training_results,2,11,0.05704545454545454,0.017500000000000005,0.7269999999999999,0.19199999999999998,0.00649690628051755
12,Qlearntab_Language__training_results,2,12,0.06058333333333332,0.016000000000000004,0.8259999999999998,0.19100000000000006,0.00847756862640375
13,Qlearntab_Language__training_results,2,13,0.06353846153846153,0.014692307692307699,0.9255,0.19050000000000017,0.007495403289794851
14,Qlearntab_Language__training_results,2,14,0.06610714285714285,0.013607142857142863,1.025,0.19000000000000014,0.0074642896652221
15,Qlearntab_Language__training_results,2,15,0.06833333333333332,0.01266666666666667,1.1244999999999998,0.1895000000000001,0.006982088088989251
16,Qlearntab_Language__training_results,2,16,0.07028124999999999,0.011843750000000007,1.2239999999999998,0.18900000000000006,0.00750350952148435
17,Qlearntab_Language__training_results,2,17,0.072,0.011117647058823532,1.3234999999999997,0.1885,0.0069813728332519
18,Qlearntab_Language__training_results,2,18,0.07352777777777778,0.010472222222222223,1.4184999999999999,0.1905,0.01946294307708735
19,Qlearntab_Language__training_results,2,19,0.0746578947368421,0.010026315789473689,1.5154999999999998,0.18749999999999997,0.0124764442443847
20,Qlearntab_Language__training_results,2,20,0.07577500000000001,0.009375,1.613,0.18499999999999991,0.0109997987747192
21,Qlearntab_Language__training_results,2,21,0.07680952380952381,0.008809523809523807,1.7125,0.18449999999999997,0.0069818496704101
22,Qlearntab_Language__training_results,2,22,0.0778409090909091,0.00838636363636363,1.8119999999999998,0.18400000000000005,0.0070089101791381
23,Qlearntab_Language__training_results,2,23,0.07878260869565218,0.007999999999999991,1.9115000000000002,0.1835,0.007508516311645451
24,Qlearntab_Language__training_results,2,24,0.07964583333333333,0.007645833333333338,2.0100000000000002,0.18199999999999994,0.00949025154113765
25,Qlearntab_Language__training_results,2,25,0.0804,0.007280000000000008,2.106,0.17799999999999966,0.0154744386672973
26,Qlearntab_Language__training_results,2,26,0.081,0.006846153846153848,2.146,0.11799999999999965,0.04637658596038815
27,Qlearntab_Language__training_results,2,27,0.07948148148148149,0.004370370370370372,2.2455000000000007,0.11749999999999948,0.0074948072433471
28,Qlearntab_Language__training_results,2,28,0.08019642857142859,0.00419642857142858,2.3450000000000006,0.11699999999999976,0.0069953203201293
29,Qlearntab_Language__training_results,2,29,0.08086206896551726,0.0040344827586207,2.4445000000000006,0.11649999999999981,0.006981611251831
30,Qlearntab_Language__training_results,2,30,0.08148333333333335,0.0038833333333333354,2.5425000000000004,0.1144999999999998,0.00997292995452875
31,Qlearntab_Language__training_results,2,31,0.08201612903225808,0.003693548387096783,2.642000000000001,0.11399999999999988,0.008988618850707949
32,Qlearntab_Language__training_results,2,32,0.0825625,0.0035625000000000097,2.740500000000001,0.11249999999999981,0.0104979276657104
33,Qlearntab_Language__training_results,2,33,0.08304545454545455,0.003409090909090917,2.833000000000001,0.11199999999999986,0.022439956665039
34,Qlearntab_Language__training_results,2,34,0.08332352941176471,0.003294117647058829,2.932500000000001,0.11149999999999993,0.009490370750427201
35,Qlearntab_Language__training_results,2,35,0.0837857142857143,0.0031857142857142987,3.032000000000001,0.11099999999999999,0.007494091987609849
36,Qlearntab_Language__training_results,2,36,0.08422222222222223,0.003083333333333347,3.131000000000001,0.1100000000000001,0.00801014900207515
37,Qlearntab_Language__training_results,2,37,0.08462162162162162,0.0029729729729729773,3.230500000000001,0.10949999999999992,0.0089626312255859
38,Qlearntab_Language__training_results,2,38,0.08501315789473685,0.002881578947368436,3.3300000000000014,0.10899999999999999,0.006981849670410101
39,Qlearntab_Language__training_results,2,39,0.08538461538461539,0.002794871794871804,3.4295000000000013,0.10850000000000025,0.0074802637100219
40,Qlearntab_Language__training_results,2,40,0.0857375,0.002712500000000006,3.5290000000000017,0.1080000000000001,0.00696599483489985
41,Qlearntab_Language__training_results,2,41,0.08607317073170731,0.002634146341463417,3.6285000000000016,0.10750000000000014,0.0069808959960937
42,Qlearntab_Language__training_results,2,42,0.08639285714285715,0.002559523809523817,3.713000000000002,0.1100000000000003,0.04637479782104485
43,Qlearntab_Language__training_results,2,43,0.08634883720930234,0.0025581395348837285,3.8125000000000018,0.10949999999999992,0.0064965486526489
44,Qlearntab_Language__training_results,2,44,0.08664772727272728,0.0024886363636363734,3.912000000000002,0.10900000000000042,0.00699460506439205
45,Qlearntab_Language__training_results,2,45,0.08693333333333333,0.002422222222222235,4.009000000000002,0.10600000000000054,0.011981248855590751
46,Qlearntab_Language__training_results,2,46,0.0871521739130435,0.002304347826086968,4.106500000000002,0.10350000000000036,0.01097035408020015
47,Qlearntab_Language__training_results,2,47,0.08737234042553192,0.002202127659574476,4.204500000000002,0.10150000000000059,0.0094882249832153
48,Qlearntab_Language__training_results,2,48,0.08759375,0.002114583333333336,4.304000000000002,0.10100000000000085,0.00749397277832025
49,Qlearntab_Language__training_results,2,49,0.08783673469387755,0.0020612244897959264,4.403500000000002,0.10050000000000114,0.00699317455291745
50,Qlearntab_Language__training_results,2,50,0.08807,0.0020100000000000113,4.503000000000002,0.10000000000000142,0.00648260116577145
51,Qlearntab_Language__training_results,2,51,0.08829411764705881,0.001960784313725511,4.602500000000003,0.09950000000000213,0.006980299949645949
52,Qlearntab_Language__training_results,2,52,0.08850961538461538,0.001913461538461565,4.702000000000002,0.09900000000000196,0.00699460506439205
53,Qlearntab_Language__training_results,2,53,0.08871698113207546,0.0018679245283019159,4.8000000000000025,0.10000000000000185,0.008975148200988749
54,Qlearntab_Language__training_results,2,54,0.08888888888888888,0.0018518518518518753,4.8995000000000015,0.09950000000000213,0.0064796209335327
55,Qlearntab_Language__training_results,2,55,0.08908181818181818,0.0018090909090909405,4.999000000000002,0.09900000000000196,0.007479667663574149
56,Qlearntab_Language__training_results,2,56,0.08926785714285713,0.0017678571428571541,5.098500000000001,0.09850000000000268,0.0064965486526489
57,Qlearntab_Language__training_results,2,57,0.08944736842105261,0.0017280701754386132,5.198000000000002,0.09800000000000296,0.00698101520538325
58,Qlearntab_Language__training_results,2,58,0.08962068965517239,0.0016896551724138104,5.297500000000001,0.09750000000000324,0.00646662712097165
59,Qlearntab_Language__training_results,2,59,0.08978813559322033,0.0016525423728813785,5.397000000000002,0.09700000000000351,0.0069818496704101
60,Qlearntab_Language__training_results,2,60,0.08994999999999997,0.0016166666666666896,5.496500000000001,0.09650000000000379,0.00648260116577145
61,Qlearntab_Language__training_results,2,61,0.09010655737704917,0.0015819672131147863,5.596000000000002,0.09600000000000407,0.00649714469909665
62,Qlearntab_Language__training_results,2,62,0.09025806451612901,0.0015483870967742258,5.695500000000001,0.09550000000000435,0.0064977407455444
63,Qlearntab_Language__training_results,2,63,0.09040476190476188,0.0015158730158730605,5.795000000000002,0.09500000000000462,0.0064975023269653
64,Qlearntab_Language__training_results,2,64,0.090546875,0.0014843750000000028,5.891500000000001,0.0965000000000047,0.01346278190612785
65,Qlearntab_Language__training_results,2,65,0.09063846153846153,0.0014846153846153898,5.991000000000001,0.09600000000000497,0.00648260116577145
66,Qlearntab_Language__training_results,2,66,0.09077272727272725,0.0014545454545454653,6.090000000000001,0.09500000000000508,0.01048696041107175
67,Qlearntab_Language__training_results,2,67,0.09089552238805967,0.0014179104477612045,6.182,0.10100000000000485,0.022425889968872
68,Qlearntab_Language__training_results,2,68,0.09091176470588233,0.0014852941176470636,6.281500000000001,0.10050000000000513,0.0074931383132934
69,Qlearntab_Language__training_results,2,69,0.09103623188405796,0.0014565217391304464,6.381,0.1000000000000054,0.0069928169250488
70,Qlearntab_Language__training_results,2,70,0.09115714285714284,0.0014285714285714455,6.480500000000001,0.09950000000000568,0.00649690628051755
71,Qlearntab_Language__training_results,2,71,0.09127464788732392,0.0014014084507042446,6.580000000000001,0.09900000000000642,0.006482481956481901
72,Qlearntab_Language__training_results,2,72,0.09138888888888888,0.0013750000000000082,6.679,0.09800000000000607,0.0084922313690185
73,Qlearntab_Language__training_results,2,73,0.0914931506849315,0.001342465753424664,6.7765,0.09550000000000614,0.00998723506927485
74,Qlearntab_Language__training_results,2,74,0.0915743243243243,0.0012905405405405493,6.872999999999999,0.09200000000000629,0.01245343685150145
75,Qlearntab_Language__training_results,2,75,0.09163999999999997,0.0012266666666666814,6.971500000000001,0.09050000000000713,0.0109835863113403
76,Qlearntab_Language__training_results,2,76,0.09173026315789472,0.0011907894736842284,7.0695,0.09150000000000658,0.01048421859741205
77,Qlearntab_Language__training_results,2,77,0.09181168831168829,0.0011883116883117037,7.1690000000000005,0.09100000000000685,0.0079792737960815
78,Qlearntab_Language__training_results,2,78,0.09191025641025638,0.0011666666666666837,7.2684999999999995,0.09050000000000713,0.00747048854827875
79,Qlearntab_Language__training_results,2,79,0.09200632911392403,0.0011455696202531881,7.3655,0.09250000000000735,0.01098430156707755
80,Qlearntab_Language__training_results,2,80,0.09206874999999998,0.0011562500000000045,7.4635,0.09050000000000756,0.01196730136871335
81,Qlearntab_Language__training_results,2,81,0.09214197530864196,0.00111728395061729,7.5595,0.08850000000000778,0.0144633054733276
82,Qlearntab_Language__training_results,2,82,0.0921890243902439,0.0010792682926829347,7.659,0.08800000000000806,0.00746524333953855
83,Qlearntab_Language__training_results,2,83,0.09227710843373493,0.001060240963855437,7.7585,0.08750000000000835,0.007978081703186
84,Qlearntab_Language__training_results,2,84,0.09236309523809522,0.0010416666666666838,7.858,0.08700000000000861,0.0099594593048095
85,Qlearntab_Language__training_results,2,85,0.0924470588235294,0.0010235294117647287,7.9575,0.08650000000000845,0.00849187374114985
86,Qlearntab_Language__training_results,2,86,0.09252906976744185,0.0010058139534883867,8.056999999999999,0.08600000000000872,0.00897610187530515
87,Qlearntab_Language__training_results,2,87,0.09260919540229884,0.0009885057471264586,8.152999999999999,0.08200000000000872,0.01497220993041985
88,Qlearntab_Language__training_results,2,88,0.09264772727272726,0.0009318181818181864,8.25,0.08400000000000851,0.0109573602676391
89,Qlearntab_Language__training_results,2,89,0.09269662921348314,0.0009438202247191023,8.3475,0.081500000000009,0.010970473289489701
90,Qlearntab_Language__training_results,2,90,0.09275,0.0009055555555555692,8.447,0.08100000000000929,0.0069810152053832505
91,Qlearntab_Language__training_results,2,91,0.09282417582417582,0.0008901098901099024,8.5465,0.08050000000000955,0.0064674615859985005
92,Qlearntab_Language__training_results,2,92,0.09289673913043478,0.0008750000000000215,8.6435,0.0815000000000099,0.011968016624450649
93,Qlearntab_Language__training_results,2,93,0.09294086021505377,0.0008763440860215313,8.743,0.08100000000001017,0.007480144500732351
94,Qlearntab_Language__training_results,2,94,0.09301063829787233,0.000861702127659597,8.842500000000001,0.08050000000001044,0.00698149204254145
95,Qlearntab_Language__training_results,2,95,0.09307894736842104,0.0008473684210526591,8.942,0.08000000000001162,0.00796341896057125
96,Qlearntab_Language__training_results,2,96,0.09314583333333333,0.0008333333333333248,9.041500000000001,0.0795000000000119,0.00747966766357415
97,Qlearntab_Language__training_results,2,97,0.09321134020618556,0.0008195876288659698,9.141,0.07900000000001127,0.0074797868728637
98,Qlearntab_Language__training_results,2,98,0.09327551020408162,0.000806122448979589,9.238,0.07600000000001117,0.011482238769531201
99,Qlearntab_Language__training_results,2,99,0.09331313131313129,0.0007676767676767575,9.334,0.07800000000001182,0.0189487934112548
100,Qlearntab_Language__training_results,2,100,0.09333999999999999,0.0007800000000000028,9.314,0.07800000000001182,0.042386770248413044
101,Qlearntab_Language__training_results,2,101,0.09333999999999999,0.0007800000000000028,9.294,0.07800000000001182,0.03789687156677245
102,Qlearntab_Language__training_results,2,102,0.092805,0.0013150000000000034,9.3245,0.02750000000001229,0.037884712219238253
103,Qlearntab_Language__training_results,2,103,0.09271499999999999,0.00021500000000001376,9.3045,0.0275000000000114,0.0399069786071777
104,Qlearntab_Language__training_results,2,104,0.09213500000000001,0.0003649999999999903,9.284500000000001,0.027500000000013177,0.040392398834228446
105,Qlearntab_Language__training_results,2,105,0.09102500000000001,0.0004350000000000048,9.264500000000002,0.02750000000001229,0.04439604282379145
106,Qlearntab_Language__training_results,2,106,0.08988000000000002,0.00041000000000001447,9.244500000000002,0.02750000000001229,0.045891523361206
107,Qlearntab_Language__training_results,2,107,0.08930000000000002,0.0009900000000000117,9.224500000000003,0.027500000000013177,0.0423977375030517
108,Qlearntab_Language__training_results,2,108,0.08872000000000002,0.0015700000000000089,9.204500000000003,0.02750000000001229,0.0374141931533813
109,Qlearntab_Language__training_results,2,109,0.08763000000000001,0.0015700000000000089,9.184500000000003,0.02750000000001229,0.03890895843505855
110,Qlearntab_Language__training_results,2,110,0.08652000000000001,0.0016400000000000162,9.164500000000004,0.02750000000001229,0.0384246110916137
111,Qlearntab_Language__training_results,2,111,0.08537,0.0016500000000000054,9.144500000000004,0.02750000000001229,0.0418883562088012
112,Qlearntab_Language__training_results,2,112,0.084175,0.0016450000000000006,9.124500000000005,0.0275000000000114,0.04240000247955315
113,Qlearntab_Language__training_results,2,113,0.082985,0.0016350000000000043,9.160000000000004,0.08300000000001172,0.03241300582885735
114,Qlearntab_Language__training_results,2,114,0.082345,0.0010750000000000134,9.140000000000004,0.08300000000001262,0.0498808622360229
115,Qlearntab_Language__training_results,2,115,0.08115,0.0010700000000000154,9.120000000000005,0.08300000000001084,0.07878887653350825
116,Qlearntab_Language__training_results,2,116,0.079955,0.0010650000000000102,9.100000000000005,0.08300000000001172,0.0443799495697021
117,Qlearntab_Language__training_results,2,117,0.07876000000000001,0.0010600000000000054,9.139000000000006,0.02400000000001068,0.02892076969146725
118,Qlearntab_Language__training_results,2,118,0.078155,0.0016450000000000006,9.119000000000007,0.024000000000011568,0.043883204460144
119,Qlearntab_Language__training_results,2,119,0.077005,0.0016649999999999996,9.099000000000007,0.024000000000012456,0.04087829589843745
120,Qlearntab_Language__training_results,2,120,0.075835,0.0016349999999999976,9.079000000000008,0.024000000000011568,0.04240250587463375
121,Qlearntab_Language__training_results,2,121,0.07466,0.0016100000000000003,9.059000000000008,0.024000000000011568,0.045392394065856906
122,Qlearntab_Language__training_results,2,122,0.073465,0.0016050000000000092,9.039000000000009,0.024000000000012456,0.046352028846740695
123,Qlearntab_Language__training_results,2,123,0.07227,0.0016000000000000042,9.074500000000008,0.07950000000001099,0.03491842746734615
124,Qlearntab_Language__training_results,2,124,0.07163,0.0010400000000000062,9.054500000000008,0.07950000000001099,0.04836940765380855
125,Qlearntab_Language__training_results,2,125,0.07044500000000001,0.001025000000000005,9.034500000000008,0.07950000000001099,0.041389584541320745
126,Qlearntab_Language__training_results,2,126,0.06928500000000001,0.0009850000000000067,9.014500000000009,0.07950000000001099,0.04287064075469965
127,Qlearntab_Language__training_results,2,127,0.068685,0.00038500000000000334,9.051500000000008,0.022500000000010626,0.031913995742797796
128,Qlearntab_Language__training_results,2,128,0.06806000000000001,0.0009499999999999993,9.031500000000012,0.022500000000010626,0.0568478107452392
129,Qlearntab_Language__training_results,2,129,0.06686500000000001,0.0009449999999999943,9.01150000000001,0.022500000000011507,0.0468746423721313
130,Qlearntab_Language__training_results,2,130,0.06567,0.0009399999999999963,9.042500000000011,0.07350000000001254,0.05136394500732415
131,Qlearntab_Language__training_results,2,131,0.065,0.0004100000000000006,9.022500000000012,0.07350000000001165,0.04488027095794675
132,Qlearntab_Language__training_results,2,132,0.063805,0.00040499999999999564,9.002500000000012,0.07350000000001165,0.03791534900665275
133,Qlearntab_Language__training_results,2,133,0.06262,0.000389999999999998,9.034000000000013,0.022000000000011788,0.0398924350738525
134,Qlearntab_Language__training_results,2,134,0.06201,0.000900000000000005,9.014000000000014,0.022000000000011788,0.04787266254425045
135,Qlearntab_Language__training_results,2,135,0.060815,0.0008949999999999929,9.051000000000013,0.03499999999998771,0.02792525291442865
136,Qlearntab_Language__training_results,2,136,0.06019000000000001,0.0014599999999999958,9.085500000000012,0.019500000000011397,0.0393930673599243
137,Qlearntab_Language__training_results,2,137,0.059545,0.000904999999999996,9.124000000000013,0.07800000000001273,0.032413363456726
138,Qlearntab_Language__training_results,2,138,0.058935,0.00031499999999999237,9.220500000000012,0.07550000000001232,0.01396226882934565
139,Qlearntab_Language__training_results,2,139,0.058905,0.00033499999999999844,9.258000000000013,0.13300000000001155,0.0373989343643188
140,Qlearntab_Language__training_results,2,140,0.058285000000000003,0.0002449999999999987,9.295500000000015,0.19050000000001166,0.02343702316284175
141,Qlearntab_Language__training_results,2,141,0.057664999999999994,0.0008249999999999923,9.390500000000014,0.1865000000000112,0.0139623880386352
