,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,Qlearntab_Language__training_results,2,0,,,0.10549999999999995,0.12549999999999994,0.05834293365478515
1,Qlearntab_Language__training_results,2,1,0.10549999999999995,0.12549999999999994,0.21099999999999997,0.25099999999999995,0.05335652828216545
2,Qlearntab_Language__training_results,2,2,0.10549999999999995,0.12549999999999994,0.31799999999999995,0.37799999999999995,0.0438817739486694
3,Qlearntab_Language__training_results,2,3,0.10599999999999996,0.12599999999999995,0.42350000000000004,0.5035000000000001,0.04341948032379145
4,Qlearntab_Language__training_results,2,4,0.10587499999999996,0.12587499999999996,0.5325,0.3745,0.0383975505828857
5,Qlearntab_Language__training_results,2,5,0.10649999999999996,0.07489999999999997,0.6379999999999999,0.5,0.0663225650787353
6,Qlearntab_Language__training_results,2,6,0.10633333333333328,0.08333333333333329,0.618,0.5000000000000001,0.048381686210632296
7,Qlearntab_Language__training_results,2,7,0.08828571428571425,0.07142857142857138,0.598,0.5000000000000001,0.05185878276824945
8,Qlearntab_Language__training_results,2,8,0.07474999999999997,0.06249999999999996,0.5779999999999998,0.5,0.055850744247436496
9,Qlearntab_Language__training_results,2,9,0.06422222222222218,0.05555555555555552,0.5579999999999998,0.5,0.04888200759887695
10,Qlearntab_Language__training_results,2,10,0.05579999999999997,0.04999999999999997,0.7889999999999997,0.49999999999999994,0.0423873662948608
11,Qlearntab_Language__training_results,2,11,0.07172727272727268,0.04545454545454543,0.8999999999999998,0.3689999999999999,0.0339382886886596
12,Qlearntab_Language__training_results,2,12,0.07499999999999997,0.030749999999999972,0.8799999999999998,0.3689999999999999,0.0483845472335815
13,Qlearntab_Language__training_results,2,13,0.06769230769230766,0.028384615384615355,0.8599999999999998,0.3689999999999999,0.039408206939697196
14,Qlearntab_Language__training_results,2,14,0.0614285714285714,0.026357142857142832,0.9654999999999998,0.24349999999999986,0.04487860202789305
15,Qlearntab_Language__training_results,2,15,0.06436666666666663,0.016233333333333315,1.0709999999999997,0.11799999999999987,0.0478855371475219
16,Qlearntab_Language__training_results,2,16,0.06693749999999998,0.007374999999999986,1.1764999999999999,0.24349999999999994,0.04438281059265135
17,Qlearntab_Language__training_results,2,17,0.06920588235294114,0.01432352941176469,1.2839999999999998,0.11599999999999999,0.03642737865447995
18,Qlearntab_Language__training_results,2,18,0.0713333333333333,0.006444444444444433,1.2639999999999996,0.11599999999999988,0.0448918342590332
19,Qlearntab_Language__training_results,2,19,0.06652631578947366,0.006105263157894724,1.3694999999999995,0.009500000000000064,0.0419145822525024
20,Qlearntab_Language__training_results,2,20,0.06847499999999998,0.00047500000000001014,1.4749999999999994,0.135,0.0349082946777343
21,Qlearntab_Language__training_results,2,21,0.07023809523809521,0.006428571428571429,1.4549999999999994,0.135,0.0369974374771118
22,Qlearntab_Language__training_results,2,22,0.0661363636363636,0.006136363636363645,1.4349999999999994,0.135,0.03241217136383055
23,Qlearntab_Language__training_results,2,23,0.062391304347826054,0.0058695652173913065,1.4149999999999994,0.135,0.03539168834686275
24,Qlearntab_Language__training_results,2,24,0.05895833333333331,0.0056250000000000015,1.5204999999999993,0.26050000000000006,0.038426399230957003
