,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,Qlearntab_Language__training_results,2,0,,,0.0,0.0,0.5448800325393677
1,Qlearntab_Language__training_results,2,1,0.0,0.0,0.0,0.0,0.2957109212875366
2,Qlearntab_Language__training_results,2,2,0.0,0.0,0.125,0.125,0.1890074014663696
3,Qlearntab_Language__training_results,2,3,0.041666666666666664,0.041666666666666664,0.125,0.125,0.2363991737365722
4,Qlearntab_Language__training_results,2,4,0.03125,0.03125,0.125,0.125,0.2019597291946411
5,Qlearntab_Language__training_results,2,5,0.025,0.025,0.125,0.125,0.1152089834213256
6,Qlearntab_Language__training_results,2,6,0.020833333333333332,0.020833333333333332,0.125,0.125,0.19850635528564448
7,Qlearntab_Language__training_results,2,7,0.017857142857142856,0.017857142857142856,0.125,0.125,0.1930099725723266
8,Qlearntab_Language__training_results,2,8,0.015625,0.015625,0.125,0.125,0.18752133846282953
9,Qlearntab_Language__training_results,2,9,0.013888888888888888,0.013888888888888886,0.125,0.125,0.16958236694335935
10,Qlearntab_Language__training_results,2,10,0.0125,0.0125,0.125,0.125,0.16108202934265137
11,Qlearntab_Language__training_results,2,11,0.011363636363636364,0.011363636363636364,0.125,0.125,0.1850060224533081
12,Qlearntab_Language__training_results,2,12,0.010416666666666666,0.010416666666666666,0.125,0.125,0.18154299259185785
13,Qlearntab_Language__training_results,2,13,0.009615384615384616,0.009615384615384614,0.125,0.125,0.1810157299041748
14,Qlearntab_Language__training_results,2,14,0.008928571428571428,0.008928571428571428,0.125,0.125,0.11569595336914054
15,Qlearntab_Language__training_results,2,15,0.008333333333333333,0.008333333333333333,0.125,0.125,0.16404676437377924
16,Qlearntab_Language__training_results,2,16,0.0078125,0.0078125,0.125,0.125,0.18451988697052
17,Qlearntab_Language__training_results,2,17,0.007352941176470588,0.007352941176470588,0.125,0.125,0.1740334033966064
18,Qlearntab_Language__training_results,2,18,0.006944444444444444,0.006944444444444443,0.125,0.125,0.1421793699264526
19,Qlearntab_Language__training_results,2,19,0.006578947368421052,0.006578947368421051,0.125,0.125,0.10325026512145989
20,Qlearntab_Language__training_results,2,20,0.00625,0.00625,0.125,0.125,0.20994842052459714
21,Qlearntab_Language__training_results,2,21,0.005952380952380952,0.005952380952380951,0.125,0.125,0.16407513618469233
22,Qlearntab_Language__training_results,2,22,0.005681818181818182,0.005681818181818182,0.125,0.125,0.1850098371505737
23,Qlearntab_Language__training_results,2,23,0.005434782608695652,0.005434782608695651,0.125,0.125,0.1910017728805542
24,Qlearntab_Language__training_results,2,24,0.005208333333333333,0.005208333333333333,0.125,0.125,0.19799566268920893
25,Qlearntab_Language__training_results,2,25,0.005,0.005,0.125,0.125,0.11321449279785155
26,Qlearntab_Language__training_results,2,26,0.004807692307692308,0.004807692307692307,0.125,0.125,0.196499228477478
27,Qlearntab_Language__training_results,2,27,0.004629629629629629,0.004629629629629629,0.125,0.125,0.21291792392730705
28,Qlearntab_Language__training_results,2,28,0.004464285714285714,0.004464285714285714,0.125,0.125,0.1900031566619873
29,Qlearntab_Language__training_results,2,29,0.004310344827586207,0.004310344827586206,0.125,0.125,0.24285054206848145
30,Qlearntab_Language__training_results,2,30,0.004166666666666667,0.004166666666666667,0.125,0.125,0.20196592807769775
31,Qlearntab_Language__training_results,2,31,0.004032258064516129,0.004032258064516128,0.125,0.125,0.19946599006652832
32,Qlearntab_Language__training_results,2,32,0.00390625,0.00390625,0.125,0.125,0.17205131053924555
33,Qlearntab_Language__training_results,2,33,0.003787878787878788,0.003787878787878788,0.125,0.125,0.1206907033920288
34,Qlearntab_Language__training_results,2,34,0.003676470588235294,0.003676470588235294,0.125,0.125,0.23138165473937988
35,Qlearntab_Language__training_results,2,35,0.0035714285714285713,0.003571428571428571,0.125,0.125,0.2318943738937378
36,Qlearntab_Language__training_results,2,36,0.003472222222222222,0.0034722222222222216,0.125,0.125,0.19897270202636713
37,Qlearntab_Language__training_results,2,37,0.0033783783783783786,0.003378378378378378,0.125,0.125,0.1979987621307373
38,Qlearntab_Language__training_results,2,38,0.003289473684210526,0.0032894736842105257,0.125,0.125,0.12467873096466059
39,Qlearntab_Language__training_results,2,39,0.003205128205128205,0.0032051282051282046,0.125,0.125,0.2114561796188354
40,Qlearntab_Language__training_results,2,40,0.003125,0.003125,0.125,0.125,0.20001590251922605
41,Qlearntab_Language__training_results,2,41,0.003048780487804878,0.003048780487804878,0.125,0.125,0.20250487327575678
