,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,Qlearntab_Language__training_results,2,0,,,0.375,0.125,0.4044718742370605
1,Qlearntab_Language__training_results,2,1,0.375,0.125,0.75,0.0,0.3245253562927246
2,Qlearntab_Language__training_results,2,2,0.375,0.0,1.125,0.37499999999999994,0.25085496902465815
3,Qlearntab_Language__training_results,2,3,0.375,0.125,1.25,0.25,0.195988655090332
4,Qlearntab_Language__training_results,2,4,0.3125,0.0625,1.375,0.125,0.1815360784530639
5,Qlearntab_Language__training_results,2,5,0.275,0.024999999999999994,1.5,0.0,0.17406976222991938
6,Qlearntab_Language__training_results,2,6,0.25,0.0,1.5,0.0,0.18156814575195307
7,Qlearntab_Language__training_results,2,7,0.21428571428571427,0.0,1.875,0.37499999999999994,0.1982150077819824
8,Qlearntab_Language__training_results,2,8,0.234375,0.04687499999999999,1.875,0.37499999999999994,0.20195949077606196
9,Qlearntab_Language__training_results,2,9,0.20833333333333331,0.04166666666666667,1.875,0.37499999999999994,0.1696236133575439
10,Qlearntab_Language__training_results,2,10,0.1875,0.0375,2.0,0.25,0.17902195453643796
11,Qlearntab_Language__training_results,2,11,0.18181818181818182,0.02272727272727273,2.0,0.25,0.17853641510009766
12,Qlearntab_Language__training_results,2,12,0.16666666666666669,0.020833333333333325,2.25,0.5,0.17876303195953364
13,Qlearntab_Language__training_results,2,13,0.17307692307692307,0.03846153846153846,2.375,0.625,0.18054723739624015
14,Qlearntab_Language__training_results,2,14,0.16964285714285715,0.04464285714285713,2.625,0.37499999999999994,0.1883660554885864
15,Qlearntab_Language__training_results,2,15,0.175,0.025,2.625,0.37499999999999994,0.16999924182891846
16,Qlearntab_Language__training_results,2,16,0.1640625,0.023437499999999997,2.625,0.37499999999999994,0.1760437488555908
17,Qlearntab_Language__training_results,2,17,0.15441176470588236,0.022058823529411766,2.875,0.625,0.1655795574188232
18,Qlearntab_Language__training_results,2,18,0.1597222222222222,0.034722222222222224,3.375,0.8749999999999999,0.18030953407287595
19,Qlearntab_Language__training_results,2,19,0.17763157894736842,0.04605263157894737,3.375,0.8749999999999999,0.1710678339004516
20,Qlearntab_Language__training_results,2,20,0.16875,0.04375,3.625,1.125,0.19050526618957514
21,Qlearntab_Language__training_results,2,21,0.17261904761904762,0.05357142857142857,3.625,1.125,0.17120599746704096
22,Qlearntab_Language__training_results,2,22,0.16477272727272727,0.05113636363636364,3.875,1.3749999999999998,0.17608284950256342
23,Qlearntab_Language__training_results,2,23,0.16847826086956522,0.05978260869565217,4.5,1.4999999999999998,0.19499051570892328
24,Qlearntab_Language__training_results,2,24,0.1875,0.0625,4.75,1.7499999999999998,0.18452727794647217
25,Qlearntab_Language__training_results,2,25,0.19,0.07,5.125,1.875,0.17258512973785395
26,Qlearntab_Language__training_results,2,26,0.1971153846153846,0.0721153846153846,5.375,2.1249999999999996,0.2005822658538818
27,Qlearntab_Language__training_results,2,27,0.19907407407407407,0.0787037037037037,5.375,2.1249999999999996,0.1835086345672607
28,Qlearntab_Language__training_results,2,28,0.1919642857142857,0.07589285714285712,5.625,2.375,0.1715410947799682
29,Qlearntab_Language__training_results,2,29,0.1939655172413793,0.08189655172413793,6.25,2.5,0.20281028747558588
30,Qlearntab_Language__training_results,2,30,0.20833333333333334,0.08333333333333334,6.5,2.25,0.19424998760223383
31,Qlearntab_Language__training_results,2,31,0.20967741935483872,0.07258064516129034,6.5,2.25,0.17208325862884521
32,Qlearntab_Language__training_results,2,32,0.203125,0.0703125,7.125,2.1249999999999996,0.19098889827728271
33,Qlearntab_Language__training_results,2,33,0.21590909090909088,0.06439393939393936,7.125,2.1249999999999996,0.1585761308670044
34,Qlearntab_Language__training_results,2,34,0.20955882352941174,0.06249999999999998,7.75,2.5,0.16020047664642328
35,Qlearntab_Language__training_results,2,35,0.22142857142857142,0.07142857142857142,8.0,2.25,0.18988561630249018
36,Qlearntab_Language__training_results,2,36,0.2222222222222222,0.0625,8.0,2.25,0.17307126522064203
37,Qlearntab_Language__training_results,2,37,0.21621621621621623,0.06081081081081081,8.875,2.375,0.15459847450256345
38,Qlearntab_Language__training_results,2,38,0.23355263157894735,0.06249999999999998,9.5,2.5,0.18402433395385742
39,Qlearntab_Language__training_results,2,39,0.2435897435897436,0.06410256410256411,9.625,2.375,0.18652951717376703
40,Qlearntab_Language__training_results,2,40,0.24062499999999998,0.05937499999999998,9.875,2.1249999999999996,0.17602908611297605
41,Qlearntab_Language__training_results,2,41,0.24085365853658536,0.05182926829268291,10.125,1.875,0.1694071292877197
42,Qlearntab_Language__training_results,2,42,0.24107142857142855,0.04464285714285713,10.625,1.875,0.1762645244598388
43,Qlearntab_Language__training_results,2,43,0.24709302325581395,0.0436046511627907,10.875,2.1249999999999996,0.17204284667968744
44,Qlearntab_Language__training_results,2,44,0.2471590909090909,0.04829545454545455,11.25,2.25,0.170045256614685
45,Qlearntab_Language__training_results,2,45,0.25,0.04999999999999999,11.5,2.0,0.1805181503295898
46,Qlearntab_Language__training_results,2,46,0.25,0.04347826086956523,11.875,2.375,0.17752623558044428
47,Qlearntab_Language__training_results,2,47,0.2526595744680851,0.05053191489361704,12.0,2.25,0.1256735324859619
48,Qlearntab_Language__training_results,2,48,0.25,0.04687499999999999,12.0,2.25,0.18182396888732905
49,Qlearntab_Language__training_results,2,49,0.24489795918367346,0.045918367346938764,12.25,2.5,0.18401086330413813
50,Qlearntab_Language__training_results,2,50,0.245,0.04999999999999999,12.75,2.5,0.17652690410614008
51,Qlearntab_Language__training_results,2,51,0.25,0.04901960784313724,13.125,2.375,0.18050277233123774
52,Qlearntab_Language__training_results,2,52,0.25240384615384615,0.04567307692307693,13.625,2.375,0.16906917095184326
53,Qlearntab_Language__training_results,2,53,0.2570754716981132,0.04481132075471697,13.875,2.1249999999999996,0.18702077865600586
54,Qlearntab_Language__training_results,2,54,0.2569444444444444,0.03935185185185184,14.0,2.25,0.17229521274566645
55,Qlearntab_Language__training_results,2,55,0.2545454545454545,0.04090909090909092,14.25,2.0,0.1699992418289184
56,Qlearntab_Language__training_results,2,56,0.2544642857142857,0.035714285714285726,14.875,1.875,0.16636681556701655
57,Qlearntab_Language__training_results,2,57,0.26096491228070173,0.03289473684210528,15.375,1.875,0.17048108577728266
58,Qlearntab_Language__training_results,2,58,0.2650862068965517,0.032327586206896554,15.625,2.1249999999999996,0.1825652122497558
59,Qlearntab_Language__training_results,2,59,0.26483050847457623,0.03601694915254236,15.625,2.1249999999999996,0.16306340694427485
60,Qlearntab_Language__training_results,2,60,0.2604166666666667,0.035416666666666666,15.625,2.1249999999999996,0.15461003780364985
61,Qlearntab_Language__training_results,2,61,0.25614754098360654,0.03483606557377048,16.0,2.25,0.1670409440994262
62,Qlearntab_Language__training_results,2,62,0.25806451612903225,0.036290322580645164,16.125,2.1249999999999996,0.10772132873535156
63,Qlearntab_Language__training_results,2,63,0.25595238095238093,0.03373015873015875,16.25,2.0,0.1724644899368286
64,Qlearntab_Language__training_results,2,64,0.25390625,0.03125,16.75,2.0,0.1683591604232788
65,Qlearntab_Language__training_results,2,65,0.25769230769230766,0.030769230769230757,16.875,1.875,0.1561145782470703
66,Qlearntab_Language__training_results,2,66,0.2556818181818182,0.028409090909090925,16.875,1.875,0.15860879421234125
67,Qlearntab_Language__training_results,2,67,0.251865671641791,0.027985074626865652,17.0,1.7499999999999998,0.16519033908843989
68,Qlearntab_Language__training_results,2,68,0.25,0.025735294117647065,17.375,2.1249999999999996,0.1679284572601318
69,Qlearntab_Language__training_results,2,69,0.25181159420289856,0.030797101449275343,17.875,2.1249999999999996,0.16333270072937012
70,Qlearntab_Language__training_results,2,70,0.25535714285714284,0.030357142857142846,17.875,2.1249999999999996,0.14810085296630854
71,Qlearntab_Language__training_results,2,71,0.2517605633802817,0.029929577464788734,18.375,2.6249999999999996,0.13866078853607175
72,Qlearntab_Language__training_results,2,72,0.25520833333333337,0.036458333333333336,18.625,2.375,0.16456449031829828
