,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,Qlearntab_Language__training_results,5,0,,,0.25,0.0,0.0289223194122314
1,Qlearntab_Language__training_results,5,1,0.25,0.0,0.5,0.0,0.0279228687286376
2,Qlearntab_Language__training_results,5,2,0.25,0.0,0.75,0.0,0.0289504528045654
3,Qlearntab_Language__training_results,5,3,0.25,0.0,1.0,0.0,0.025930643081665
4,Qlearntab_Language__training_results,5,4,0.25,0.0,1.25,0.0,0.0089766979217529
5,Qlearntab_Language__training_results,5,5,0.25,0.0,1.5,0.0,0.0079789161682128
6,Qlearntab_Language__training_results,5,6,0.25,0.0,1.75,0.0,0.0119938850402832
7,Qlearntab_Language__training_results,5,7,0.25,0.0,2.0,0.0,0.0080101490020751
8,Qlearntab_Language__training_results,5,8,0.25,0.0,2.25,0.0,0.0079777240753173
9,Qlearntab_Language__training_results,5,9,0.25,0.0,2.5,0.0,0.0090034008026123
10,Qlearntab_Language__training_results,5,10,0.25,0.0,2.75,0.0,0.0079789161682128
11,Qlearntab_Language__training_results,5,11,0.25,0.0,3.0,0.0,0.0080058574676513
12,Qlearntab_Language__training_results,5,12,0.25,0.0,3.25,0.0,0.0080060958862304
13,Qlearntab_Language__training_results,5,13,0.25,0.0,3.5,0.0,0.0089755058288574
14,Qlearntab_Language__training_results,5,14,0.25,0.0,3.75,0.0,0.0080049037933349
15,Qlearntab_Language__training_results,5,15,0.25,0.0,4.0,0.0,0.0090043544769287
16,Qlearntab_Language__training_results,5,16,0.25,0.0,4.25,0.0,0.0090031623840332
17,Qlearntab_Language__training_results,5,17,0.25,0.0,4.5,0.0,0.008009910583496
18,Qlearntab_Language__training_results,5,18,0.25,0.0,4.75,0.0,0.0079779624938964
19,Qlearntab_Language__training_results,5,19,0.25,0.0,5.0,0.0,0.0079874992370605
20,Qlearntab_Language__training_results,5,20,0.25,0.0,5.25,0.0,0.0080070495605468
21,Qlearntab_Language__training_results,5,21,0.25,0.0,5.5,0.0,0.0080070495605468
22,Qlearntab_Language__training_results,5,22,0.25,0.0,5.75,0.0,0.0070109367370605
23,Qlearntab_Language__training_results,5,23,0.25,0.0,6.0,0.0,0.0070109367370605
24,Qlearntab_Language__training_results,5,24,0.25,0.0,6.25,0.0,0.0089757442474365
25,Qlearntab_Language__training_results,5,25,0.25,0.0,6.5,0.0,0.0079786777496337
26,Qlearntab_Language__training_results,5,26,0.25,0.0,6.75,0.0,0.0079796314239501
27,Qlearntab_Language__training_results,5,27,0.25,0.0,7.0,0.0,0.0100035667419433
28,Qlearntab_Language__training_results,5,28,0.25,0.0,7.25,0.0,0.0090019702911376
29,Qlearntab_Language__training_results,5,29,0.25,0.0,7.5,0.0,0.0079767704010009
30,Qlearntab_Language__training_results,5,30,0.25,0.0,7.75,0.0,0.008007526397705
31,Qlearntab_Language__training_results,5,31,0.25,0.0,8.0,0.0,0.0079782009124755
32,Qlearntab_Language__training_results,5,32,0.25,0.0,8.25,0.0,0.0079495906829833
33,Qlearntab_Language__training_results,5,33,0.25,0.0,8.5,0.0,0.0119948387145996
34,Qlearntab_Language__training_results,5,34,0.25,0.0,8.75,0.0,0.0089778900146484
35,Qlearntab_Language__training_results,5,35,0.25,0.0,9.0,0.0,0.007981538772583
36,Qlearntab_Language__training_results,5,36,0.25,0.0,9.25,0.0,0.0079779624938964
37,Qlearntab_Language__training_results,5,37,0.25,0.0,9.5,0.0,0.0090086460113525
38,Qlearntab_Language__training_results,5,38,0.25,0.0,9.75,0.0,0.0080082416534423
39,Qlearntab_Language__training_results,5,39,0.25,0.0,10.0,0.0,0.007981538772583
40,Qlearntab_Language__training_results,5,40,0.25,0.0,10.25,0.0,0.0080084800720214
41,Qlearntab_Language__training_results,5,41,0.25,0.0,10.5,0.0,0.0099728107452392
42,Qlearntab_Language__training_results,5,42,0.25,0.0,10.75,0.0,0.0079782009124755
43,Qlearntab_Language__training_results,5,43,0.25,0.0,11.0,0.0,0.0080053806304931
