,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,Qlearntab_Language__training_results,5,0,,,0.2,0.049999999999999996,0.233377456665039
1,Qlearntab_Language__training_results,5,1,0.2,0.049999999999999996,0.5,0.07905694150420949,0.2642929553985595
2,Qlearntab_Language__training_results,5,2,0.25,0.03952847075210474,0.8,0.049999999999999996,0.2303857803344726
3,Qlearntab_Language__training_results,5,3,0.26666666666666666,0.016666666666666663,1.15,0.09999999999999999,0.2194757461547851
4,Qlearntab_Language__training_results,5,4,0.2875,0.024999999999999998,1.25,0.07905694150420949,0.2024588584899902
5,Qlearntab_Language__training_results,5,5,0.25,0.015811388300841892,1.5,0.13693063937629152,0.2134301662445068
6,Qlearntab_Language__training_results,5,6,0.25000000000000006,0.022821773229381927,1.95,0.1457737973711325,0.2044229507446289
7,Qlearntab_Language__training_results,5,7,0.2785714285714285,0.02082482819587608,2.15,0.09999999999999999,0.19248628616333
8,Qlearntab_Language__training_results,5,8,0.26875,0.012499999999999999,2.45,0.1457737973711325,0.1945078372955322
9,Qlearntab_Language__training_results,5,9,0.27222222222222225,0.016197088596792506,2.65,0.21794494717703367,0.1934821605682373
10,Qlearntab_Language__training_results,5,10,0.265,0.021794494717703367,2.75,0.25,0.1895205974578857
11,Qlearntab_Language__training_results,5,11,0.25,0.022727272727272724,3.15,0.33166247903553997,0.2054488658905029
12,Qlearntab_Language__training_results,5,12,0.2625,0.027638539919628335,3.25,0.3708099243547831,0.1945147514343261
13,Qlearntab_Language__training_results,5,13,0.25,0.028523840334983314,3.65,0.4444097208657794,0.2064754962921142
14,Qlearntab_Language__training_results,5,14,0.26071428571428573,0.031743551490412816,3.85,0.45138675213169466,0.1805455684661865
15,Qlearntab_Language__training_results,5,15,0.2566666666666667,0.030092450142112974,4.0,0.5303300858899106,0.1954755783081054
16,Qlearntab_Language__training_results,5,16,0.25,0.03314563036811941,4.15,0.6154266812545585,0.1915144920349121
17,Qlearntab_Language__training_results,5,17,0.2441176470588235,0.03620156948556227,4.5,0.6373774391990981,0.1894669532775879
18,Qlearntab_Language__training_results,5,18,0.25,0.03540985773328323,4.8,0.6726812023536854,0.1944873332977295
19,Qlearntab_Language__training_results,5,19,0.25263157894736843,0.03540427380808871,5.05,0.6773108592072034,0.1864881515502929
20,Qlearntab_Language__training_results,5,20,0.2525,0.033865542960360165,5.3,0.739087274954724,0.1954913139343261
21,Qlearntab_Language__training_results,5,21,0.2523809523809524,0.03519463214070115,5.55,0.8381527307120105,0.182542085647583
22,Qlearntab_Language__training_results,5,22,0.2522727272727273,0.038097851396000484,5.85,0.8824681297361395,0.1934552192687988
23,Qlearntab_Language__training_results,5,23,0.25434782608695655,0.03836817955374519,6.05,0.95,0.1934840679168701
24,Qlearntab_Language__training_results,5,24,0.2520833333333333,0.03958333333333334,6.15,0.9829801625668748,0.182535171508789
25,Qlearntab_Language__training_results,5,25,0.246,0.039319206502674994,6.5,0.9519716382329886,0.1955320835113525
26,Qlearntab_Language__training_results,5,26,0.25,0.03661429377819186,6.8,0.9791578013783069,0.1954772472381591
27,Qlearntab_Language__training_results,5,27,0.2518518518518519,0.036265103754752115,7.2,1.0529719844326344,0.2074449062347412
28,Qlearntab_Language__training_results,5,28,0.2571428571428571,0.03760614230116551,7.55,1.1330269193624658,0.2154233455657959
29,Qlearntab_Language__training_results,5,29,0.2603448275862069,0.03906989377111952,7.95,1.1973930014828047,0.2124319076538086
30,Qlearntab_Language__training_results,5,30,0.265,0.03991310004942682,8.4,1.2663925141913939,0.215437650680542
31,Qlearntab_Language__training_results,5,31,0.27096774193548384,0.04085137142552884,8.75,1.2449899597988732,0.1914880275726318
32,Qlearntab_Language__training_results,5,32,0.2734375,0.03890593624371479,9.05,1.3679364020304452,0.1944804191589355
33,Qlearntab_Language__training_results,5,33,0.27424242424242423,0.041452618243346825,9.55,1.5378556499229696,0.179614782333374
34,Qlearntab_Language__training_results,5,34,0.28088235294117647,0.04523104852714617,9.9,1.6174826119621812,0.1855044364929199
35,Qlearntab_Language__training_results,5,35,0.2828571428571428,0.04621378891320517,10.15,1.7186477242297213,0.1865026950836181
36,Qlearntab_Language__training_results,5,36,0.28194444444444444,0.0477402145619367,10.55,1.806931099959265,0.186500072479248
37,Qlearntab_Language__training_results,5,37,0.28513513513513516,0.048835975674574726,10.9,1.8701604209265044,0.1855151653289795
38,Qlearntab_Language__training_results,5,38,0.2868421052631579,0.049214747919118534,11.25,2.0171142753944307,0.1875958442687988
39,Qlearntab_Language__training_results,5,39,0.28846153846153844,0.05172087885626746,11.55,1.9927995383379633,0.1924991607666015
40,Qlearntab_Language__training_results,5,40,0.28875,0.04981998845844908,11.9,2.142720233721612,0.1965024471282959
41,Qlearntab_Language__training_results,5,41,0.2902439024390244,0.05226146911516127,12.4,2.3124662159694354,0.1815423965454101
42,Qlearntab_Language__training_results,5,42,0.2952380952380952,0.0550587194278437,12.55,2.3788127290730556,0.1905446052551269
43,Qlearntab_Language__training_results,5,43,0.29186046511627906,0.05532122625751293,12.9,2.4894778569009204,0.1775527000427246
44,Qlearntab_Language__training_results,5,44,0.2931818181818182,0.05657904220229365,13.2,2.643860813280457,0.1775791645050048
45,Qlearntab_Language__training_results,5,45,0.29333333333333333,0.05875246251734349,13.35,2.6793189433137665,0.1795449256896972
46,Qlearntab_Language__training_results,5,46,0.29021739130434787,0.05824606398508188,13.85,2.80579756931964,0.1914863586425781
47,Qlearntab_Language__training_results,5,47,0.2946808510638298,0.05969782062382213,14.2,2.928736929121494,0.1625657081604004
48,Qlearntab_Language__training_results,5,48,0.29583333333333334,0.06101535269003113,14.55,3.0201407251980825,0.1905241012573242
49,Qlearntab_Language__training_results,5,49,0.2969387755102041,0.061635525004042506,14.85,3.1864949395848727,0.1805405616760254
50,Qlearntab_Language__training_results,5,50,0.297,0.06372989879169746,15.05,3.1468237955119123,0.1914784908294677
51,Qlearntab_Language__training_results,5,51,0.2950980392156863,0.061702427362978665,15.25,3.322273318076043,0.1775770187377929
52,Qlearntab_Language__training_results,5,52,0.2932692307692307,0.06388987150146237,15.45,3.4472815376757375,0.1905138492584228
53,Qlearntab_Language__training_results,5,53,0.2915094339622642,0.06504304788067432,15.8,3.58678128689219,0.1975073814392089
54,Qlearntab_Language__training_results,5,54,0.2925925925925926,0.06642187568318872,16.05,3.5614252764869287,0.1855318546295166
55,Qlearntab_Language__training_results,5,55,0.2918181818181818,0.06475318684521689,16.35,3.7354718577443466,0.1955046653747558
56,Qlearntab_Language__training_results,5,56,0.2919642857142858,0.06670485460257762,16.75,3.910722439652295,0.1795611381530761
57,Qlearntab_Language__training_results,5,57,0.29385964912280704,0.06860916560793501,17.0,4.040420770167384,0.1915297508239746
58,Qlearntab_Language__training_results,5,58,0.29310344827586204,0.06966242707185145,17.35,4.186735004750122,0.1815426349639892
59,Qlearntab_Language__training_results,5,59,0.29406779661016946,0.07096161025000206,17.75,4.337337893224368,0.1885523796081543
60,Qlearntab_Language__training_results,5,60,0.29583333333333334,0.0722889648870728,18.0,4.514559779203283,0.176551342010498
61,Qlearntab_Language__training_results,5,61,0.29508196721311475,0.07400917670825055,18.25,4.693080012102926,0.1855039596557617
62,Qlearntab_Language__training_results,5,62,0.29435483870967744,0.07569483890488592,18.55,4.844713613826931,0.1775527000427246
63,Qlearntab_Language__training_results,5,63,0.29444444444444445,0.07690021609249097,18.8,4.851803788283281,0.1865026950836181
64,Qlearntab_Language__training_results,5,64,0.29375,0.07580943419192626,19.15,5.002874173912431,0.1675212383270263
65,Qlearntab_Language__training_results,5,65,0.2946153846153846,0.07696729498326818,19.35,5.087730338766001,0.1895756721496582
66,Qlearntab_Language__training_results,5,66,0.2931818181818182,0.07708682331463639,19.65,5.266996297701375,0.1715462207794189
67,Qlearntab_Language__training_results,5,67,0.2932835820895522,0.07861188504031905,19.9,5.28358306455004,0.1824843883514404
68,Qlearntab_Language__training_results,5,68,0.2926470588235294,0.0776997509492653,20.3,5.44196655631032,0.1755037307739257
69,Qlearntab_Language__training_results,5,69,0.2942028985507246,0.0788690805262365,20.55,5.6232775140481905,0.183497667312622
